,0,1,title
61,61,http://www.memphis.edu/development/supportum.php,Support UofM -       	Development      	 - University of Memphis   
62,62,http://www.memphis.edu/uofmglobal/,UofM Global Online Degrees -       	UofM Global      	 - University of Memphis   
63,63,http://www.memphis.edu/ccfa/,CCFA - University of Memphis -       	CCFA      	 - University of Memphis   
64,64,http://www.memphis.edu/libraries/special-collections/,Special Collections -       	Libraries      	 - University of Memphis   
65,65,http://www.memphis.edu/students/,Current UofM Students -       	Current Students      	 - University of Memphis   
66,66,http://www.memphis.edu/ugcatalog/collegeprog/,University of Memphis - Acalog ACMSâ¢
67,67,http://www.memphis.edu/admissions/freshmen/apply_ugrd.php,Apply for Admissions -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
68,68,http://www.memphis.edu/gradschool/,Graduate School -       	Graduate School       	 - University of Memphis   
69,69,http://www.memphis.edu/honors/,Helen Hardin Honors College -       	Helen Hardin Honors College      	 - University of Memphis   
70,70,http://www.memphis.edu/athletics/,Tiger Athletics -       	Tiger Athletics      	 - University of Memphis   
71,71,http://www.memphis.edu/umparents/,UofM Parents and Families -       	Parent & Family Services      	 - University of Memphis   
72,72,http://www.memphis.edu/accounting/gc.php,Grants & Contracts -       	Accounting      	 - University of Memphis   
73,73,http://www.memphis.edu/mediaroom/releases/,UofM News Releases -       	UofM Media Room      	 - University of Memphis   
74,74,http://www.memphis.edu/aa/provost/,Office of the Provost -       	Academic Affairs      	 - University of Memphis   
75,75,http://www.memphis.edu/bursar/,Bursar's Office -       	Bursar's Office      	 - University of Memphis   
76,76,http://www.memphis.edu/cas/,College of Arts and Sciences -       	CAS      	 - University of Memphis   
77,77,http://www.memphis.edu/corporatepartnerships/,"Welcome to your ""One-Stop Shop"" for UofM Engagement -       	Corporate Partnership & Economic Development      	 - University of Memphis   "
78,78,http://www.memphis.edu/studentaffairs/,Division of Student Affairs -       	Student Affairs      	 - University of Memphis   
79,79,http://www.memphis.edu/rsp/cayuse/,Research Portal -       	RSP      	 - University of Memphis   
80,80,http://www.memphis.edu/admissions/international/apply_intl.php,Apply for Admissions -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
81,81,http://www.memphis.edu/admissions/international/,International Students -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
82,82,http://www.memphis.edu/graduateadmissions/,Graduate Admissions -       	Graduate Admissions      	 - University of Memphis   
83,83,http://www.memphis.edu/mlk50/lawsymposium/index.php,Law Symposium -       	MLK50      	 - University of Memphis   
84,84,http://www.memphis.edu/tigerdining/,	University of Memphis - Tiger Dining - Memphis
85,85,http://www.memphis.edu/rsp/,Division of Research and Sponsored Programs -       	RSP      	 - University of Memphis   
86,86,http://www.memphis.edu/iss/,International Student Office -       	International Student Services      	 - University of Memphis   
87,87,http://www.memphis.edu/cares/,Center for Academic Retention and Enrichment Services (CARES) -       	CARES      	 - University of Memphis   
88,88,http://www.memphis.edu/gradschool/programs/ranked_programs.php,Nationally Ranked Programs  -       	Graduate School       	 - University of Memphis   
89,89,http://www.memphis.edu/govern/,Office of Government Relations -       	Government Relations      	 - University of Memphis   
90,90,http://www.memphis.edu/prospective/,The University of Memphis - UofM -       	Prospective Students      	 - University of Memphis   
91,91,http://www.memphis.edu/admissions/faq.php,Frequently Asked Questions -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
92,92,http://www.memphis.edu/wilson/,Wilson School of Hospitality & Resort Management -       	Kemmons Wilson School of Hospitality & Resort Management      	 - University of Memphis   
93,93,http://www.memphis.edu/admissions/visitcampus.php,Visit the Campus -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
94,94,http://www.memphis.edu/reslife/,Residence Life -       	Reslife      	 - University of Memphis   
95,95,http://www.memphis.edu/cris/,Campus Recreation Intramural Services -       	CRIS      	 - University of Memphis   
96,96,http://www.memphis.edu/tsf/,Athletics Development -       	Athletics Development      	 - University of Memphis   
97,97,http://www.memphis.edu/law/,Law -       	School of Law       	 - University of Memphis   
