,0,1,title
0,0,http://www.memphis.edu,
57,57,http://www.memphis.edu/caas/,The Center for Athletic Academic Services -       	CAAS      	 - University of Memphis   
58,58,http://www.memphis.edu/notice/,UofM Notice -       	UofM Notice      	 - University of Memphis   
59,59,http://www.memphis.edu/graduateadmissions/,Graduate Admissions -       	Graduate Admissions      	 - University of Memphis   
60,60,http://www.memphis.edu/libraries/services/,Services -       	Libraries      	 - University of Memphis   
61,61,http://www.memphis.edu/gradschool/programs/,Academic Degree Programs -       	Graduate School       	 - University of Memphis   
62,62,http://www.memphis.edu/libraries/help/,Ask A Librarian -       	Libraries      	 - University of Memphis   
63,63,http://www.memphis.edu/bursar/,Bursar's Office -       	Bursar's Office      	 - University of Memphis   
64,64,http://www.memphis.edu/libraries/,University Libraries -       	Libraries      	 - University of Memphis   
65,65,http://www.memphis.edu/herff/,Herff -       	Herff College of Engineering      	 - University of Memphis   
66,66,http://www.memphis.edu/development/,Office of Development -       	Development      	 - University of Memphis   
67,67,http://www.memphis.edu/mediaroom/releases/2017/oct17/stjudecourses.php,ALSAC/St. Jude Collaboration -       	UofM Media Room      	 - University of Memphis   
68,68,http://www.memphis.edu/cris/intramurals/,Intramurals Schedule -       	CRIS      	 - University of Memphis   
69,69,http://www.memphis.edu/about/,About The University of Memphis -       	About UofM      	 - University of Memphis   
70,70,http://www.memphis.edu/accounting/gc.php,Grants & Contracts -       	Accounting      	 - University of Memphis   
71,71,http://www.memphis.edu/oie/eo-aa/eoaa-policy.php,Equal Opportunity and Affirmative Action Policy -       	OIE      	 - University of Memphis   
72,72,http://www.memphis.edu/aa/provost/,Office of the Provost -       	Academic Affairs      	 - University of Memphis   
73,73,http://www.memphis.edu/uofmglobal/,UofM Global Online Degrees -       	UofM Global      	 - University of Memphis   
74,74,http://www.memphis.edu/abroad/,Study Abroad -       	Study Abroad      	 - University of Memphis   
75,75,http://www.memphis.edu/oie/title9/index.php, Title IX and Sexual Misconduct -       	OIE      	 - University of Memphis   
76,76,http://www.memphis.edu/web-directory/,UofM Web Directory -       	Web Directory      	 - University of Memphis   
77,77,http://www.memphis.edu/govern/,Office of Government Relations -       	Government Relations      	 - University of Memphis   
78,78,http://www.memphis.edu/truebluetiger/,True Blue Tiger -       	True Blue Tiger      	 - University of Memphis   
79,79,http://www.memphis.edu/reslife/,Residence Life -       	Reslife      	 - University of Memphis   
80,80,http://www.memphis.edu/scholarships/,Scholarships -       	Scholarships      	 - University of Memphis   
81,81,http://www.memphis.edu/univcoll/,University College -       	University College      	 - University of Memphis   
82,82,http://www.memphis.edu/gradschool/programs/ranked_programs.php,Nationally Ranked Programs  -       	Graduate School       	 - University of Memphis   
83,83,http://www.memphis.edu/studentaffairs/students/studentservices.php,Student Services -       	Student Affairs      	 - University of Memphis   
84,84,http://www.memphis.edu/ugcatalog/collegeprog/,University of Memphis - Acalog ACMSâ¢
85,85,http://www.memphis.edu/conferences/,Conference & Event Services -       	Conference & Event Services        	 - University of Memphis   
86,86,http://www.memphis.edu/mediaroom/releases/2017/oct17/landbridgevideo.php,Land Bridge Rendering -       	UofM Media Room      	 - University of Memphis   
87,87,http://www.memphis.edu/admissions/visitcampus.php,Visit the Campus -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
88,88,http://www.memphis.edu/bf/,Division of Business and Finance -       	Division of Business and Finance      	 - University of Memphis   
89,89,http://www.memphis.edu/law/admissions/,Admissions -       	School of Law       	 - University of Memphis   
90,90,http://www.memphis.edu/law/current-students/course-catalog.php,Course Catalog -       	School of Law       	 - University of Memphis   
91,91,http://www.memphis.edu/tigerdining/,	University of Memphis - Tiger Dining - Memphis
92,92,http://www.memphis.edu/presweb/,Office of the President -       	Office of the President      	 - University of Memphis   
93,93,http://www.memphis.edu/uofmglobal/services/,UofM Global Student Services and Support -       	UofM Global      	 - University of Memphis   
94,94,http://www.memphis.edu/studentaffairs/,Division of Student Affairs -       	Student Affairs      	 - University of Memphis   
95,95,http://www.memphis.edu/aa/recognition/chairsexcellence/,Chairs of Excellence -       	Academic Affairs      	 - University of Memphis   
96,96,http://www.memphis.edu/academics/colleges-schools.php,UofM Colleges and Schools -       		Academics      		 - University of Memphis   
97,97,http://www.memphis.edu/cares/,Center for Academic Retention and Enrichment Services (CARES) -       	CARES      	 - University of Memphis   
98,98,http://www.memphis.edu/academics/,UofM Academics -       		Academics      		 - University of Memphis   
99,99,http://www.memphis.edu/rsp/research_resources.php,Research Resources -       	RSP      	 - University of Memphis   
100,100,http://www.memphis.edu/admissions/international/,International Students -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
101,101,http://www.memphis.edu/registrar/calendars/,Calendars -       	Registrar      	 - University of Memphis   
102,102,http://www.memphis.edu/coe/,COE -       	COE      	 - University of Memphis   
103,103,http://www.memphis.edu/development/supportum.php,Support UofM -       	Development      	 - University of Memphis   
104,104,http://www.memphis.edu/ehs/,Environmental Health and Safety -       	EH&S      	 - University of Memphis   
105,105,http://www.memphis.edu/oir/,OIR -       	OIR      	 - University of Memphis   
106,106,http://www.memphis.edu/fedex/,FIT -       	FedEx Institute      	 - University of Memphis   
107,107,http://www.memphis.edu/rsp/vice_president/research_centers_institutes.php,Research Centers and Institutes -       	RSP      	 - University of Memphis   
108,108,http://www.memphis.edu/libraries/resources/,Resources -       	Libraries      	 - University of Memphis   
109,109,http://www.memphis.edu/mlk50/contactus.php,Contact Us -       	MLK50      	 - University of Memphis   
110,110,http://www.memphis.edu/mlk50/lawsymposium/panelists.php,Panelists and Bios -       	MLK50      	 - University of Memphis   
111,111,http://www.memphis.edu/mlk50/news/index.php,About -       	MLK50      	 - University of Memphis   
112,112,http://www.memphis.edu/mlk50/,MLK50 Memphis -       	MLK50      	 - University of Memphis   
113,113,http://www.memphis.edu/mlk50/lawsymposium/schedule.php,Schedule of Events -       	MLK50      	 - University of Memphis   
114,114,http://www.memphis.edu/mlk50/lawsymposium/sponsors.php,Law Symposium Sponsors -       	MLK50      	 - University of Memphis   
115,115,http://www.memphis.edu/mediaroom/releases/2017/nov17/mlk50lawsymposium.php,MLK50 Law Symposium -       	UofM Media Room      	 - University of Memphis   
116,116,http://www.memphis.edu/mlk50/events/index.php,About -       	MLK50      	 - University of Memphis   
117,117,http://www.memphis.edu/mlk50/about/index.php,About -       	MLK50      	 - University of Memphis   
118,118,http://www.memphis.edu/sph/about/index.php,About -       	SPH      	 - University of Memphis   
119,119,http://www.memphis.edu/sph/people/index.php, People -       	SPH      	 - University of Memphis   
120,120,http://www.memphis.edu/sph/applynowsph.php,Apply Now  -       	SPH      	 - University of Memphis   
121,121,http://www.memphis.edu/sph/news/index.php,News -       	SPH      	 - University of Memphis   
122,122,http://www.memphis.edu/sph/supportsph.php,Support SPH  -       	SPH      	 - University of Memphis   
123,123,http://www.memphis.edu/sph/programs/index.php,Programs -       	SPH      	 - University of Memphis   
124,124,http://www.memphis.edu/sph/students_alumni/index.php, Students & Alumni -       	SPH      	 - University of Memphis   
125,125,http://www.memphis.edu/sph/contactus.php,Contact Us  -       	SPH      	 - University of Memphis   
126,126,http://www.memphis.edu/sph/research/index.php,  -       	SPH      	 - University of Memphis   
127,127,http://www.memphis.edu/veterans/services/index.php,VMSS Services -       	Veterans and Military Student Services      	 - University of Memphis   
128,128,http://www.memphis.edu/veterans/give.php,Give to the Veterans and Military Student Services -       	Veterans and Military Student Services      	 - University of Memphis   
129,129,http://www.memphis.edu/innovation/elc/experiential_learning.php, Experiential Learning -       	CITL      	 - University of Memphis   
130,130,http://www.memphis.edu/veterans/resources/index.php,Resources -       	Veterans and Military Student Services      	 - University of Memphis   
131,131,http://www.memphis.edu/veterans/scholarships/index.php,Grants and Scholarships for Veterans -       	Veterans and Military Student Services      	 - University of Memphis   
132,132,http://www.memphis.edu/veterans/programs/greenzone.php,Green Zone -       	Veterans and Military Student Services      	 - University of Memphis   
133,133,http://www.memphis.edu/veterans/programs/index.php,Programs -       	Veterans and Military Student Services      	 - University of Memphis   
134,134,http://www.memphis.edu/veterans/news.php,Veterans News -       	Veterans and Military Student Services      	 - University of Memphis   
135,135,http://www.memphis.edu/veterans/about/index.php,About Veterans and Military Student Services -       	Veterans and Military Student Services      	 - University of Memphis   
136,136,http://www.memphis.edu/police/,Police Services -       	Police Services      	 - University of Memphis   
137,137,http://www.memphis.edu/nso//,Information -       	New Student Orientation      	 - University of Memphis   
138,138,http://www.memphis.edu/gradschool/directory.php,Directory  -       	Graduate School       	 - University of Memphis   
